entity,avg_ttr,triple_train_coherence_mean,triple_train_coherence_std,triple_self_coherence_mean,triple_self_coherence_std,type_self_coherence_mean,type_self_coherence_std,direct_neighbors,type_triple_ratio,avg_triple_length,avg_type_length
'N Sync,0.8021472185365375,0.24522228641773622,0.16667102790302074,0.3762175225200303,0.22946041566590097,0.45133747000779423,0.16242628585899607,76,0.11764705882352941,73.55882352941177,27.875
15 Minutes,0.7153028188742475,0.3949382474993245,0.1318586277524721,0.4194007820767105,0.1523517641080298,0.6110175301631292,0.20150587484027901,63,0.06779661016949153,61.847457627118644,26.0
16th United States Congress,0.8104314545104019,0.0,0.0,0.6669262058170218,0.10659336049557351,0.5,0.0,76,0.0,116.10526315789474,0.0
1984 Summer Olympics,0.836270546347077,0.24836661813744704,0.2056326147309239,0.5501404570726656,0.1556081461823406,0.3989919438958168,0.15922811969255146,196,0.02617801047120419,77.91623036649214,29.2
1988 Summer Olympics,0.8286883495408841,0.06412882688600803,0.08689886816216151,0.558675526253194,0.1502109419251198,0.45594996213912964,0.0,217,0.009302325581395349,79.78139534883721,26.5
19th century,0.8453703703703703,0.2428884854540229,0.1773771997435161,0.4374534363547961,0.3771551421848702,0.3826336979866028,0.05995934978644998,9,1.25,79.0,28.6
2 Fast 2 Furious,0.7151012188954712,0.22668059949736255,0.16038517729879703,0.3389468278647445,0.2051914360081323,0.4781115303436915,0.22157844648881858,69,0.06153846153846154,66.43076923076923,32.25
2006 Winter Olympics,0.8057309357309358,0.28204458689692224,0.21130800487662474,0.6211166772625716,0.14434755644796907,0.3580101231733958,0.054647854651352475,195,0.015625,85.171875,24.666666666666668
2008 Summer Olympics,0.8391972154829297,0.15710241064934805,0.15851198446980685,0.5789511668511428,0.11217863742800672,0.3769927637444602,0.09097792504366754,700,0.014492753623188406,79.8391304347826,28.9
2009 NCAA Men's Division I Basketball Tournament,0.7003569226191445,0.396539176420237,0.23010927067672135,0.6631913857280645,0.18707124671994874,0.4613703489303589,0.2354094699176842,43,0.10256410256410256,129.33333333333334,60.5
2009 Toronto International Film Festival,0.774738894636646,0.39052779547531496,0.28548420123875456,0.5171518772649218,0.2023194436119572,0.372639536857605,0.0,57,0.03636363636363636,49.03636363636364,26.0
2010 NCAA Men's Division I Basketball Tournament,0.7222571589057657,0.4022532798283334,0.23223159721745454,0.663236966129964,0.17122085305074014,0.4613703489303589,0.2354094699176842,32,0.14285714285714285,126.07142857142857,60.5
2012 Summer Olympics,0.788621215432295,0.193836777951954,0.1919798106961577,0.6259982236754148,0.11670088044213885,0.3833136429389318,0.10720561963251196,704,0.008595988538681949,88.21060171919771,29.0
2012 Toronto International Film Festival,0.7067185489763345,0.6383253437280655,0.12555423997520931,0.5386619576386042,0.1403075596514827,0.5,0.0,51,0.02,58.9,33.0
24,0.7126591360715233,0.24846873381981757,0.157937317661812,0.3467956640164893,0.20167815154761057,0.4508549392223358,0.18824976330343599,132,0.03937007874015748,87.81102362204724,30.2
25th United States Congress,0.8160653632082203,0.0,0.0,0.6457421298106018,0.10571012882953297,0.5,0.0,70,0.0,115.48571428571428,0.0
3rd United States Congress,0.8212586732994896,0.0,0.0,0.6458917905633547,0.1087413786211286,0.5,0.0,49,0.0,113.22448979591837,0.0
50 Cent,0.818739446522569,0.17288770885514104,0.13012458145469513,0.2596757218737886,0.24880734444256583,0.3662623310121157,0.15983089260995156,107,0.40789473684210525,75.80263157894737,30.258064516129032
59th Berlin International Film Festival,0.7832790959521063,0.3187824974543062,0.25365904795681743,0.5832962494325168,0.10649930109956322,0.4363096535205841,0.20819001469423168,34,0.1724137931034483,45.55172413793103,27.2
