entity,avg_ttr,triple_train_coherence_mean,triple_train_coherence_std,triple_self_coherence_mean,triple_self_coherence_std,type_self_coherence_mean,type_self_coherence_std,direct_neighbors,type_triple_ratio,avg_triple_length,avg_type_length
(500) Days of Summer,0.649917506895614,0.27268838981489324,0.17607517757278096,0.36974203218646196,0.24021037980819115,0.46249150750892504,0.20030284468085216,105,0.08247422680412371,78.61855670103093,37.5
1. FC Union Berlin,0.7878787878787878,0.3369058259195299,0.18625587153060236,0.6952271128629709,0.17615476901627966,0.4667372802893321,0.19668457270786643,26,0.18181818181818182,70.45454545454545,29.5
13 Assassins,0.697451404804346,0.27169017274087914,0.17230088577755256,0.4335877236940508,0.21299675573686647,0.4487710121605131,0.17226506322020083,67,0.17543859649122806,72.29824561403508,37.0
13 Going on 30,0.7210018110572595,0.3001236353501944,0.1661220603761421,0.3814183371274599,0.1730909367536897,0.4963666707277298,0.22619788949560607,61,0.08928571428571429,63.32142857142857,29.6
17th Screen Actors Guild Awards,0.7255746144214953,0.5709408259653783,0.044682711156862336,0.5701913601167328,0.1085233278241419,0.5,0.0,92,0.01098901098901099,93.20879120879121,29.0
1896 Summer Olympics,0.8666407102382712,0.31904869992285967,0.2504426981451034,0.5481832301008361,0.1543045909726052,0.31835266947746277,0.0,82,0.025,71.4875,25.0
18th Screen Actors Guild Awards,0.7219883669392785,0.5685082835995633,0.042369691176295604,0.5790779362425984,0.1109050123088957,0.5,0.0,93,0.010869565217391304,94.95652173913044,29.0
1904 Summer Olympics,0.8583935235343686,0.5692027025989124,0.08062750064886813,0.5435640763915597,0.1608026648395311,0.5,0.0,71,0.014285714285714285,72.5,31.0
1924 Summer Olympics,0.854004221446082,0.17642679628132282,0.27758115231747094,0.5288118181119835,0.17190642666678493,0.23684938251972198,0.07111249663047982,129,0.023809523809523808,72.97619047619048,26.333333333333332
1948 Summer Olympics,0.8317511322793013,0.5499965638345015,0.07321094234009902,0.5460435868645692,0.16437090267108942,0.5,0.0,142,0.0070921985815602835,78.23404255319149,31.0
1965 Major League Baseball season,0.6129807692307693,0.42437099615732826,0.015812286017321164,0.7530036699204218,0.04454106968464415,0.5,0.0,16,0.06666666666666667,87.4,36.0
1980 NCAA Men's Division I Basketball Tournament,0.7732861832757512,0.41894571002986697,0.2077053183851109,0.4212689001230768,0.2747316379312537,0.5,0.0,46,0.022222222222222223,90.62222222222222,70.0
1980 Summer Olympics,0.8336712529894349,0.31970275949215754,0.24332829911219198,0.5553132168244234,0.15397883468498766,0.31835266947746277,0.0,176,0.011494252873563218,77.83908045977012,25.0
1983 NCAA Men's Division I Basketball Tournament,0.7889376477748359,0.31515365916284477,0.1930609902769138,0.4084884632989647,0.2540054598743278,0.5607405304908752,0.18685731762179217,51,0.0851063829787234,79.61702127659575,59.5
1988 Summer Olympics,0.8286883495408841,0.06412882688600803,0.08689886816216151,0.558675526253194,0.1502109419251198,0.45594996213912964,0.0,217,0.009302325581395349,79.78139534883721,26.5
1992 NCAA Men's Division I Basketball Tournament,0.7824196645379373,0.3098301814135277,0.19188039207520355,0.4159563319042845,0.27611055992681294,0.38761648535728455,0.11347954200074914,47,0.06818181818181818,86.11363636363636,50.333333333333336
1994 Major League Baseball season,0.7738095238095238,0.2891031801700592,0.0,0.5,0.0,0.5,0.0,2,1.0,121.0,36.0
1997 NCAA Men's Division I Basketball Tournament,0.7407916501283374,0.36510077502538,0.1934726694249644,0.46850038672558925,0.28061249062863264,0.5607405304908752,0.18685731762179217,50,0.08695652173913043,104.26086956521739,59.5
1998 Winter Olympics,0.8183086480256292,0.2553366704003596,0.24135855998903064,0.602369408421619,0.14059364947793745,0.36413481334845227,0.09512136801141685,159,0.019230769230769232,83.26282051282051,27.0
2000 Summer Olympics,0.8239678205528721,0.19466618310288225,0.19387228203633847,0.5648299030902731,0.1438466988940293,0.3557408779859543,0.07406417594623728,388,0.015706806282722512,80.5,27.5
2001: A Space Odyssey,0.7688651096105457,0.2230755440510382,0.16783552026900533,0.33525841186787336,0.19057813103521803,0.43996325822976917,0.15352304840748274,87,0.17567567567567569,67.27027027027027,31.46153846153846
2003 Major League Baseball season,0.6359877496241133,0.21575600566012004,0.19046624340924154,0.6403757756435743,0.15637864909489607,0.2953239381313324,0.0,33,0.06451612903225806,89.3225806451613,27.5
2003 invasion of Iraq,0.7748905856048713,0.11685777618068918,0.0822559204917851,0.5174825432979071,0.24662878882906453,0.3590416371822357,0.13482546197776785,28,0.21739130434782608,83.91304347826087,32.0
2005 NCAA Men's Division I Basketball Tournament,0.6993106205799704,0.18177526624816837,0.11486970219232084,0.6690702527535685,0.1645780616313844,0.2953239381313324,0.0,35,0.06060606060606061,130.84848484848484,27.5
2007 Grammy Awards,0.7108693568885168,0.2869046677621507,0.185821491992705,0.6274334481756974,0.11333248551547316,0.5801149606704712,0.27490028392581295,252,0.012048192771084338,93.63052208835342,29.0
2009 Sundance Film Festival,0.7810032346271842,0.26803129138352233,0.25118726508963213,0.49640078750182537,0.25783593257644644,0.3625893021623294,0.1444876731253938,28,0.16666666666666666,55.375,24.75
2011 Libyan Civil War,1.0,0.31035077571868896,0.05373829335181574,0.5612062990665436,0.1725058850417077,0.5,0.0,6,0.2,55.0,19.0
2046,0.7357285643677174,0.27626988286789084,0.15497350812360114,0.3813766606490006,0.19657637398262226,0.44704697728157045,0.14119357348992279,84,0.06329113924050633,70.17721518987342,26.4
28th Academy Awards,0.7161861127378369,0.2537957186931245,0.20755801270663518,0.5841625591183638,0.130072294190116,0.3465772271156311,0.0,58,0.03571428571428571,88.17857142857143,24.0
39th Berlin International Film Festival,0.7817460317460317,0.6442194521427155,0.14520239237686533,0.5458360344171524,0.21817362672681642,0.5,0.0,6,0.2,45.6,33.0
39th Daytime Emmy Awards,0.7265935058770778,0.5572385414491726,0.04900176442838631,0.5721770844959431,0.10246510676252252,0.5,0.0,80,0.012658227848101266,89.87341772151899,29.0
3:10 to Yuma,0.7253690670730313,0.32858850074136203,0.1711856607085489,0.3344823565020205,0.17784991506559167,0.5269487202167511,0.21660957567767697,74,0.04225352112676056,67.02816901408451,26.0
47th Academy Awards,0.7197043924380749,0.29808732146941597,0.25199951724589115,0.5669971355010326,0.1327346502882999,0.39882466197013855,0.0,73,0.028169014084507043,88.90140845070422,24.0
50 First Dates,0.7484249596214837,0.24235698718469215,0.14672995446004256,0.29514935451573254,0.18679879507697622,0.35202430685361225,0.03075649951682686,66,0.047619047619047616,63.80952380952381,31.666666666666668
50/50,0.6389367350393333,0.3090424297478151,0.18510914796945194,0.3709704761101748,0.22321966774103744,0.5194077998399734,0.1828902108446477,79,0.06756756756756757,78.44594594594595,33.2
54th Academy Awards,0.7139489478775193,0.25606249791155455,0.2101475957485346,0.5893247068305218,0.12273252012284455,0.3465772271156311,0.0,84,0.024390243902439025,88.5,24.0
54th Primetime Emmy Awards,0.7373645062988657,0.07382590230554342,0.06671643762574425,0.586358448697461,0.11726756237498868,0.5,0.0,73,0.013888888888888888,93.94444444444444,19.0
58th Berlin International Film Festival,0.7785369220151829,0.4035997253629224,0.3071774960723954,0.5219058876979704,0.27958217879839675,0.3792563130458196,0.26574973896581605,23,0.15,43.05,31.0
61st Berlin International Film Festival,0.7487790199182166,0.3394968487411028,0.2500521932222225,0.5460821926910743,0.19311966599855498,0.41159898042678833,0.038111222750621544,38,0.08571428571428572,48.34285714285714,27.0
65th Academy Awards,0.7213658764563742,0.25402637700531877,0.20837098928392098,0.5805993044846937,0.12147239785089539,0.3465772271156311,0.0,78,0.02631578947368421,88.84210526315789,24.0
65th British Academy Film Awards,0.7106616966911085,0.5482525516231105,0.05999056948462744,0.6204823064570503,0.15763577983869925,0.5,0.0,54,0.018867924528301886,87.05660377358491,29.0
70th Academy Awards,0.7108484361110412,0.5636188714619143,0.04480571266535405,0.589250722598441,0.11454012673065284,0.5,0.0,84,0.012048192771084338,86.95180722891567,29.0
76th Academy Awards,0.7157011459517391,0.5053013485670089,0.07478446345183866,0.5804913549165468,0.12239662553435321,0.7175233960151672,0.0,77,0.02666666666666667,89.04,29.0
77th Academy Awards,0.7208388636380523,0.07723149703404701,0.06641920060858203,0.5805854305124083,0.1178710647802023,0.3206118643283844,0.0,87,0.023529411764705882,87.6470588235294,20.5
81st Academy Awards,0.735080008227067,0.2722512248871151,0.21198701035212195,0.5921902108022608,0.13171274514597017,0.4773985158119883,0.205396510531379,75,0.11940298507462686,90.07462686567165,29.375
98th United States Congress,0.8067036523347203,0.0,0.0,0.6679252638842704,0.14295171003426205,0.5,0.0,103,0.0,117.55339805825243,0.0
A Civil Action,0.7462069003013275,0.2212735133854659,0.18663078509520992,0.3638615913828875,0.15622910291125905,0.3854337304830551,0.19070846644383957,74,0.07246376811594203,65.43478260869566,26.8
