entity,avg_ttr,triple_train_coherence_mean,triple_train_coherence_std,triple_self_coherence_mean,triple_self_coherence_std,type_self_coherence_mean,type_self_coherence_std,direct_neighbors,type_triple_ratio,avg_triple_length,avg_type_length
'N Sync American boy band,0.782742463438004,0.22159242454697103,0.15585521853457923,0.3369677163051058,0.230794497011089,0.45133747000779423,0.16242628585899607,76,0.11764705882352941,103.32352941176471,27.875
15 Minutes 2001 film by John Herzfeld,0.7462570761644285,0.361498261249419,0.12000297547017283,0.36101614672327026,0.15644704039421475,0.6110175301631292,0.20150587484027901,63,0.06779661016949153,102.20338983050847,26.0
16th United States Congress None,0.8167083280543777,0.0,0.0,0.6385324824692911,0.12398692763600917,0.5,0.0,76,0.0,144.30263157894737,0.0
"1984 Summer Olympics games of the XXIII Olympiad, celebrated in Los Angeles in 1984",0.8516585972339753,0.23335937965532988,0.19188948438079728,0.46472499219057956,0.15085201218599403,0.3989919438958168,0.15922811969255146,196,0.02617801047120419,118.69109947643979,29.2
"1988 Summer Olympics Games of the XXIV Olympiad, celebrated in Seoul (South Korea) in 1988",0.8441970108577215,0.07564915803181235,0.09819653000415415,0.4748191118555824,0.15115776082546278,0.45594996213912964,0.0,217,0.009302325581395349,120.6046511627907,26.5
19th century century,0.8346999405822936,0.18934843407478183,0.17074651557653941,0.4662466769417127,0.3667627143636317,0.3826336979866028,0.05995934978644998,9,1.25,99.5,28.6
2 Fast 2 Furious 2003 American film,0.7403249419803443,0.2069240860372352,0.1388156766405633,0.3341745846208561,0.17520913580837041,0.4781115303436915,0.22157844648881858,69,0.06153846153846154,99.8,32.25
"2006 Winter Olympics 20th edition of Winter Olympics, held in Turin (Italy) in 2006",0.8274200524610397,0.2723154744097782,0.2046089630017587,0.5515544688313659,0.1455202992250588,0.3580101231733958,0.054647854651352475,195,0.015625,124.43229166666667,24.666666666666668
"2008 Summer Olympics games of the XXIX Olympiad, celebrated in Beijing in 2008",0.8428163065487378,0.14884521057421302,0.150320610090333,0.5080866196428632,0.12860199965322835,0.3769927637444602,0.09097792504366754,702,0.014450867052023121,112.72543352601156,28.9
2009 NCAA Men's Division I Basketball Tournament None,0.6755853731391928,0.3822689361665816,0.22953825224881377,0.6343365913299736,0.19268159082421144,0.4613703489303589,0.2354094699176842,43,0.10256410256410256,159.87179487179486,60.5
