entity,avg_ttr,triple_train_coherence_mean,triple_train_coherence_std,triple_self_coherence_mean,triple_self_coherence_std,type_self_coherence_mean,type_self_coherence_std,direct_neighbors,type_triple_ratio,avg_triple_length,avg_type_length
1. FC Kaiserslautern German association football club,0.7753233530254207,0.23338384482000643,0.18477974227463217,0.8055602605792059,0.12228664843149062,0.3905653456846873,0.16146196695435697,28,0.16666666666666666,141.875,27.75
13 Going on 30 2004 film by Gary Winick,0.7428141681470977,0.2691129843138957,0.15475398464579418,0.34230682599575973,0.16658942713001565,0.4963666707277298,0.22619788949560607,61,0.08928571428571429,98.53571428571429,29.6
14th Screen Actors Guild Awards ceremony on 27 January 2008 concerning films released in 2007,0.7675611134508579,0.4642878601859723,0.05497469192672193,0.49608459419773426,0.1132727315684599,0.5,0.0,113,0.008928571428571428,111.10714285714286,29.0
"1896 Summer Olympics Games of the I Olympiad, celebrated in Athens (Greece) in 1896",0.8809625044843651,0.3064217985724099,0.23821287660613022,0.49244261094239317,0.16090854090366222,0.31835266947746277,0.0,82,0.025,103.45,25.0
"1904 Summer Olympics Games of the III Olympiad, celebrated in Saint Louis (United States) in 1904",0.8642019483069009,0.5267772486167295,0.10056462538408181,0.47146934554174613,0.16974459080591484,0.5,0.0,71,0.014285714285714285,113.17142857142858,31.0
"1912 Summer Olympics Games of the V Olympiad, celebrated in Stockholm (Sweden) in 1912",0.8588268197436129,0.017639174714104786,0.04313971685404076,0.48115075740064034,0.1616884543788664,0.5,0.0,99,0.01020408163265306,119.74489795918367,26.0
"1956 Summer Olympics games of the XVI Olympiad, celebrated in Melbourne in 1956",0.8528363702429537,0.2544381232856184,0.2090225229041525,0.48195903849533805,0.1540373331210634,0.31973399718602497,0.013980942518973995,150,0.02040816326530612,119.20408163265306,26.0
1965 Major League Baseball season None,0.676826923076923,0.36408858696619667,0.019042200050335304,0.6592335595971062,0.06514909597302819,0.5,0.0,16,0.06666666666666667,178.93333333333334,36.0
1980 NCAA Men's Division I Basketball Tournament None,0.7719458951977446,0.39690608899626467,0.22156846839192684,0.38181711773040017,0.27943892103153645,0.5,0.0,46,0.022222222222222223,126.82222222222222,70.0
1993 Grammy Awards award ceremony,0.7378200737466223,0.48261985387751666,0.04717782566087981,0.6104443835768294,0.1269829416908718,0.5,0.0,190,0.005291005291005291,112.88888888888889,29.0
1993 NCAA Men's Division I Basketball Tournament None,0.7900981577388227,0.2858601391513366,0.2284131511297233,0.3593974120732948,0.2929337729670048,0.4013152743379275,0.22998066161786998,54,0.08,129.98,54.0
1994 Major League Baseball season 1994 season of Major League Baseball,0.7291666666666667,0.2944176495075226,0.0,0.5,0.0,0.5,0.0,2,1.0,137.0,36.0
"1998 Winter Olympics 18th edition of Winter Olympics, held in Nagano (Japan) in 1998",0.8302250622582997,0.25481171383400314,0.22797307933507252,0.5371617258926183,0.14197396145830793,0.36413481334845227,0.09512136801141685,159,0.019230769230769232,122.03846153846153,27.0
2 Fast 2 Furious 2003 American film,0.7403249419803443,0.2069240860372352,0.1388156766405633,0.3341745846208561,0.17520913580837041,0.4781115303436915,0.22157844648881858,69,0.06153846153846154,99.8,32.25
2000 Grammy Awards award ceremony,0.7406497041471423,0.01390642716128202,0.04506651773357407,0.598998633583636,0.12145516584703102,0.5,0.0,235,0.004273504273504274,113.59401709401709,19.0
2005 NCAA Men's Division I Basketball Tournament None,0.673277867152259,0.17905291152948682,0.11478063120980447,0.6517227118778409,0.1545272217227596,0.2953239381313324,0.0,35,0.06060606060606061,155.5151515151515,27.5
2007 NFL Draft None,0.6927161532543272,0.020967370343221832,0.026120833852565063,0.678918995676313,0.08609466400776687,0.5,0.0,63,0.016129032258064516,144.11290322580646,19.0
2009 Sundance Film Festival 2009 film festival edition,0.7936776266730788,0.20901206616448084,0.19095226758540154,0.40008155817454477,0.23088333987252252,0.3625893021623294,0.1444876731253938,28,0.16666666666666666,88.45833333333333,24.75
2010: The Year We Make Contact 1984 science fiction movie,0.7711243080815028,0.21414545596725926,0.15657408746746665,0.31099503801761913,0.18426846593311025,0.3797583963189806,0.18844712168401487,75,0.10294117647058823,96.75,33.714285714285715
2011 Libyan Civil War 2011 armed conflict in the North African country of Libya,0.9317460317460317,0.27467122077941897,0.06343147789827466,0.4286629170179367,0.1271078064543786,0.5,0.0,6,0.2,89.0,19.0
2012 Toronto International Film Festival 2012 film festival edition,0.7360609183700165,0.5063856369256974,0.12286807535434777,0.45452681583409404,0.14547456071538395,0.5,0.0,51,0.02,92.84,33.0
21 Jump Street 2012 American action comedy film,0.7099724846372276,0.2135124070382738,0.14661398943272974,0.32520726902064057,0.20058970476033589,0.4331206321716309,0.10657912481731656,112,0.04672897196261682,108.05607476635514,28.4
24th Academy Awards None,0.7571135178087148,0.2546808951413238,0.2313225222658834,0.5216493975240004,0.12655161811321658,0.39882466197013855,0.0,72,0.02857142857142857,116.81428571428572,24.0
28th Academy Awards None,0.7478556647157577,0.22440400418275072,0.2038163919736689,0.530457990384334,0.13439923992532443,0.3465772271156311,0.0,58,0.03571428571428571,115.875,24.0
30 Rock American television comedy series,0.743290336148326,0.24753762555309733,0.13525193979019584,0.3729263089540724,0.18199307296082945,0.44827324748039243,0.1444212495754765,218,0.023474178403755867,116.13615023474179,30.4
300 2007 American film by Zack Snyder,0.7196886886486572,0.24760980646250472,0.15641248822148923,0.3261358719496609,0.19311248157734062,0.4228624462016991,0.1518148007810909,116,0.07407407407407407,100.25,30.0
37th Golden Globe Awards None,0.76806582429584,0.437696797400713,0.0895944380197444,0.4573124164157668,0.12177861902212671,0.5,0.0,61,0.016666666666666666,107.9,29.0
39th Daytime Emmy Awards None,0.7749709678795665,0.46775924819934217,0.06631849540762542,0.49688314522427035,0.1392888460475987,0.5,0.0,80,0.012658227848101266,115.58227848101266,29.0
47th Academy Awards None,0.7623792554176363,0.23703238892846112,0.22366049790143774,0.48548956362894125,0.1551748466941176,0.39882466197013855,0.0,73,0.028169014084507043,117.0,24.0
"50 Cent American rapper, investor and actor",0.8226969533670005,0.15692283602243576,0.12752077422826266,0.2540085214625619,0.24777931257825167,0.3662623310121157,0.15983089260995156,107,0.40789473684210525,112.09210526315789,30.258064516129032
50 First Dates 2004 film by Peter Segal,0.7426926193634841,0.21909734646903065,0.133281485858962,0.2807419046813134,0.18484052119472014,0.35202430685361225,0.03075649951682686,66,0.047619047619047616,102.38095238095238,31.666666666666668
50/50 2011 American drama film,0.6917714021069243,0.2840269522508606,0.17395210173437453,0.34088829864693687,0.19970295823032896,0.5194077998399734,0.1828902108446477,79,0.06756756756756757,109.17567567567568,33.2
"54th Academy Awards awards presented March 29, 1982",0.7521268566096598,0.22115930200166853,0.20295354447021027,0.512470157082829,0.14830122065579318,0.3465772271156311,0.0,84,0.024390243902439025,119.6219512195122,24.0
"54th Annual Grammy Awards event held on February 12, 2012",0.7342431880343274,0.48989755561301757,0.060997215897199385,0.5908721407371965,0.14852948194347257,0.5,0.0,144,0.006993006993006993,111.96503496503496,29.0
57th Academy Awards None,0.747660051122236,0.2234747677211999,0.20673875012992685,0.5301517256592009,0.1371715248190745,0.3465772271156311,0.0,70,0.029411764705882353,114.27941176470588,24.0
61st Berlin International Film Festival 2011 film festival edition,0.7848453209008129,0.24297031063941263,0.19650716520708533,0.4027725835698618,0.1847562493112071,0.41159898042678833,0.038111222750621544,38,0.08571428571428572,81.77142857142857,27.0
62nd Academy Awards None,0.7594641134198465,0.29716978537019006,0.20294954859855,0.4896804674985638,0.1797232665535844,0.4876418113708496,0.16394444462066732,75,0.041666666666666664,119.43055555555556,25.666666666666668
65th Academy Awards None,0.7593184590269731,0.22154604685783852,0.19947621370241247,0.5062638730385848,0.14335090362545244,0.3465772271156311,0.0,78,0.02631578947368421,117.92105263157895,24.0
65th British Academy Film Awards None,0.7320610501660554,0.4677204340696335,0.06471815705745892,0.59002501328296,0.1639175205913738,0.5,0.0,54,0.018867924528301886,102.32075471698113,29.0
76th Academy Awards None,0.7558460516984468,0.4409775729974111,0.0811711600247073,0.509359010849987,0.1359982653509895,0.7175233960151672,0.0,77,0.02666666666666667,119.34666666666666,29.0
77th Academy Awards None,0.7644984060511136,0.05650660384032081,0.05961195642408198,0.5046813858615584,0.13303218011016435,0.3206118643283844,0.0,87,0.023529411764705882,120.83529411764705,20.5
98th United States Congress None,0.8118430498691892,0.0,0.0,0.6207295884671675,0.1591771015642064,0.5,0.0,103,0.0,144.03883495145632,0.0
A Beautiful Mind 2001 film directed by Ron Howard,0.7375098527550752,0.2745773494167501,0.13899119930601925,0.37902786788695414,0.1876620912610532,0.4643940441310406,0.19425274021517794,187,0.05056179775280899,111.86516853932584,31.22222222222222
A Civil Action 1998 film by Steven Zaillian,0.7578379930808757,0.2007514638164877,0.17300069739187796,0.3540543734240096,0.14610864609467372,0.3854337304830551,0.19070846644383957,74,0.07246376811594203,100.42028985507247,26.8
A Dangerous Method 2011 film by David Cronenberg,0.7120781108633499,0.21432170373128495,0.1634238773008035,0.31103590240568263,0.21639940248630313,0.4281344066063563,0.19816712405772743,124,0.05084745762711865,111.8135593220339,36.666666666666664
A Man for All Seasons 1966 film by Fred Zinnemann,0.7445248844558777,0.27403333203332725,0.14790702481306067,0.3614704153355799,0.20883162417697182,0.45791410974093844,0.15013691511444688,99,0.07608695652173914,102.96739130434783,31.714285714285715
"A Midsummer Night's Dream 1935 film by William Dieterle, Max Reinhardt",0.7519805117661225,0.2159773214828971,0.15714125027532147,0.3562360656615652,0.16310306893393486,0.3791795157428299,0.16337949913597374,69,0.13114754098360656,100.37704918032787,33.875
A Passage to India 1984 drama film,0.7331935581606573,0.27087462157062375,0.15419480279803455,0.3953075394329114,0.21289887815436684,0.47506576421714963,0.19013710414386906,110,0.06796116504854369,110.49514563106796,28.428571428571427
A Separation 2011 Iranian film directed by Asghar Farhadi,0.6593152429143102,0.2882355967595974,0.18253700834101141,0.41792919369483433,0.22396080612457964,0.5441743910312653,0.2042822556326964,87,0.07407407407407407,115.96296296296296,39.5
A Streetcar Named Desire 1951 drama movie,0.7636778365535323,0.20728277519644472,0.15033366475922055,0.38969402804127495,0.19413846262509138,0.4093538987904023,0.1739815923088498,91,0.16666666666666666,114.67948717948718,32.07692307692308
A Time to Kill 1996 film by Joel Schumacher,0.7644529155427959,0.21155362261902333,0.15369000504603866,0.3487195575963986,0.16132758428241117,0.4383985201517741,0.21786453876832,92,0.06976744186046512,98.73255813953489,30.0
A Very Long Engagement 2004 film by Jean-Pierre Jeunet,0.7485924142714312,0.24930995785481563,0.1588315216858999,0.3046875913366333,0.2112426324623372,0.4299996019828887,0.17467242779598904,67,0.11666666666666667,102.11666666666666,30.571428571428573
A.C. Perugia Calcio Italian association football club based in Perugia,0.7960827995915715,0.2858496589689619,0.18525731277359198,0.8584109913735163,0.06612667617251955,0.4536074201265971,0.20903772504562515,18,0.2,141.73333333333332,28.333333333333332
A.F.C. Telford United English association football club,0.8260247688819117,0.4084665547860296,0.07679200267022261,0.7256355536611456,0.1773153031534307,0.539481520652771,0.0,21,0.10526315789473684,124.47368421052632,35.0
A.S. Roma professional Italian association football club,0.792895839630225,0.17444617375124083,0.12837975420138756,0.596588541171401,0.18331424143389616,0.4054546331365903,0.114613414673461,50,0.08695652173913043,126.47826086956522,32.25
ABC Records American record label founded in New York City in 1955,0.9724578451851179,0.2215460926061496,0.19551496025167084,0.3953577955302439,0.15404743242663485,0.3115895390510559,0.0,22,0.1,69.7,31.5
ABS-CBN (TV Network) Commercial television network in the Philippines,0.7873710566370525,0.2658419060184517,0.18193635284164553,0.24698874035938864,0.22435799353489772,0.47290953000386554,0.2079137799519217,18,0.2,107.73333333333333,28.666666666666668
AC Bellinzona association football club in Switzerland,0.7851935394040658,0.46400788852146696,0.04915480836078947,0.8651130657929641,0.06515201008442911,0.5,0.0,15,0.07142857142857142,142.35714285714286,29.0
AC/DC Australian hard rock band,0.846486963840445,0.19875955347755322,0.13703127757068667,0.27378041526161173,0.20334602814461333,0.41232365356250245,0.17903540418822186,62,0.21568627450980393,98.03921568627452,29.272727272727273
AFC Wimbledon English football club,0.8035178672487672,0.26900370991123573,0.17972485164013177,0.7061214432829902,0.1961806899119873,0.5094706118106842,0.1798130686923174,31,0.10714285714285714,129.14285714285714,33.0
ANTI- record label,0.9821428571428571,0.12960116191640159,0.1864654878163931,0.3838519581339576,0.1807179114834318,0.4022730092207591,0.11754869478588847,14,0.2727272727272727,63.36363636363637,29.0
"AOL internet company, e-mail service provider",0.8730754042507691,0.12415760522379594,0.10244094483281922,0.26318701935990246,0.22209020286180803,0.33842153496602,0.1506980098316052,42,0.68,132.68,35.705882352941174
AT&T American multinational telecommunications corporation,0.882395928914095,0.12713628596562648,0.11925010756541574,0.22872179715248978,0.2180186054081424,0.31274919940957,0.14020387445422525,68,0.44680851063829785,130.85106382978722,32.95238095238095
"Aachen city in North Rhine-Westphalia, Germany",0.883620222717967,0.2672097947708188,0.17933463246493245,0.28442785962085637,0.2461736134013012,0.4646354272770576,0.20747324419351426,21,1.625,112.75,43.84615384615385
"Aaliyah American recording artist, actress and model",0.8206067976128854,0.15757855658839723,0.1355696002261562,0.24461230335457781,0.2253110085771775,0.3886727941307155,0.15438794485487548,93,0.30985915492957744,98.22535211267606,28.545454545454547
Aarhus city in Denmark,0.9285714285714286,0.201698730699718,0.1340090830585776,0.7096455097198486,0.0,0.3955530097087224,0.12250922013915096,8,3.0,99.5,35.833333333333336
"Aaron Sorkin American screenwriter, producer, playwright",0.765603643005965,0.17646443049991778,0.1424267139668266,0.28619354917991907,0.22823768263124136,0.401521711884176,0.17018670964609658,127,0.15454545454545454,111.27272727272727,31.294117647058822
Aaron Staton American actor,0.685021631070335,0.3525363572259685,0.13291447151248742,0.3938458682431246,0.2210920893297042,0.6151396284500757,0.18241013146585117,67,0.06349206349206349,107.39682539682539,23.5
"Abbas Kiarostami Iranian film director, screenwriter, photographer and film producer",0.8838955071661839,0.21860012297365503,0.166095509026418,0.2592932186643815,0.23535884648768407,0.5113151594996452,0.191534165740705,35,0.5909090909090909,101.86363636363636,28.46153846153846
